N,종목명,현재가,전일비,등락률,액면가,자산총계,영업이익,매출액증가율
264.0,LG전자우,41400.0,750.0,-1.78%,5000.0,,,
265.0,현대그린푸드,7080.0,30.0,-0.42%,500.0,31100.0,586.0,7.65
266.0,파미셀,11500.0,350.0,-2.95%,500.0,958.0,76.0,34.81
267.0,우리종금,781.0,12.0,-1.51%,500.0,51597.0,1040.0,18.34
268.0,쏘카,20750.0,50.0,-0.24%,100.0,4332.0,-210.0,9.59
269.0,TIGER 200 IT,27050.0,190.0,-0.70%,0.0,,,
270.0,세아베스틸지주,18900.0,400.0,+2.16%,5000.0,35260.0,2384.0,43.98
271.0,LX홀딩스,8810.0,130.0,-1.45%,1000.0,14425.0,1472.0,
272.0,지누스,35550.0,1250.0,-3.40%,500.0,10186.0,743.0,13.57
273.0,HDC현대산업개발,10100.0,50.0,-0.49%,5000.0,65664.0,2734.0,-8.35
274.0,부광약품,9350.0,30.0,+0.32%,500.0,3974.0,56.0,7.56
275.0,DN오토모티브,66400.0,1300.0,-1.92%,500.0,14850.0,896.0,15.9
276.0,케이카,13800.0,200.0,+1.47%,500.0,5500.0,711.0,43.78
277.0,넥센타이어,6730.0,250.0,-3.58%,500.0,38234.0,44.0,22.45
278.0,한섬,26650.0,250.0,-0.93%,500.0,15571.0,1522.0,16.01
279.0,드림텍,9720.0,330.0,-3.28%,100.0,7330.0,961.0,29.01
280.0,해성디에스,38500.0,950.0,-2.41%,5000.0,4749.0,863.0,42.86
281.0,대한해운,2040.0,100.0,-4.67%,500.0,38597.0,2039.0,30.51
282.0,진원생명과학,8320.0,400.0,-4.59%,1000.0,2495.0,-275.0,-6.75
283.0,현대홈쇼핑,53900.0,600.0,+1.13%,5000.0,26003.0,1285.0,3.93
284.0,SBS,35350.0,0.0,0.00%,5000.0,14621.0,1844.0,25.41
285.0,동아쏘시오홀딩스,101500.0,0.0,0.00%,5000.0,16914.0,616.0,12.59
286.0,SNT모티브,44050.0,100.0,+0.23%,5000.0,11498.0,916.0,0.11
287.0,세아제강지주,155500.0,3000.0,+1.97%,5000.0,28990.0,2990.0,23.21
288.0,LG생활건강우,302500.0,3500.0,-1.14%,5000.0,,,
289.0,한세실업,15600.0,400.0,-2.50%,500.0,12162.0,1067.0,-1.55
290.0,현대에너지솔루션,55400.0,2300.0,-3.99%,5000.0,6056.0,95.0,50.4
291.0,TIGER 단기채권액티브,51155.0,10.0,+0.02%,0.0,,,
292.0,세방전지,43800.0,1600.0,-3.52%,500.0,16844.0,997.0,7.92
293.0,SK디스커버리,32200.0,250.0,-0.77%,5000.0,68819.0,744.0,46.35
294.0,SPC삼립,70700.0,200.0,-0.28%,5000.0,12230.0,662.0,15.89
295.0,KCC글라스,38000.0,800.0,-2.06%,1000.0,18779.0,1605.0,
296.0,삼양홀딩스,70800.0,800.0,-1.12%,5000.0,44606.0,3517.0,25.74
297.0,영진약품,3300.0,165.0,-4.76%,500.0,1941.0,-139.0,-5.95
298.0,콘텐트리중앙,31250.0,1300.0,-3.99%,5000.0,22456.0,-574.0,87.97
299.0,KODEX Top5PlusTR,14345.0,95.0,-0.66%,0.0,,,
300.0,쿠쿠홀딩스,16600.0,200.0,-1.19%,100.0,10709.0,1070.0,16.56
301.0,유니드,87100.0,400.0,+0.46%,5000.0,13477.0,1683.0,23.23
302.0,HANARO 200,30525.0,265.0,-0.86%,0.0,,,
303.0,동원F&B,146500.0,1000.0,-0.68%,5000.0,19357.0,1304.0,10.11
304.0,이수화학,20100.0,1050.0,-4.96%,5000.0,11689.0,821.0,29.7
305.0,한국단자,53900.0,300.0,-0.55%,500.0,11252.0,762.0,19.9
306.0,KODEX 자동차,15525.0,70.0,-0.45%,0.0,,,
307.0,화승엔터프라이즈,9120.0,280.0,-2.98%,500.0,13303.0,71.0,2.05
308.0,KODEX 코스닥150,9890.0,200.0,-1.98%,0.0,,,
309.0,티와이홀딩스,10700.0,50.0,-0.47%,500.0,21322.0,112.0,217.78
310.0,신영증권,57600.0,0.0,0.00%,5000.0,110850.0,1213.0,-26.09
311.0,한화투자증권,2515.0,70.0,-2.71%,5000.0,117910.0,2088.0,-30.56
312.0,ARIRANG 200,30965.0,250.0,-0.80%,0.0,,,
313.0,QV 코스피 변동성 매칭형 양매도 ETN,7680.0,25.0,-0.32%,0.0,,,
